name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,linkedin,country,companyStatus
Crimson,https://www.eu-startups.com/directory/crimson/,Norway,"Crimson is an IT company that offers software consultancy in open source, Linux, Qt/C++, QML/QtQuick, OpenGL, or embedded systems. It helps with all parts of a product lifecycle, from concept work, and architecture, all the way down to implementation and support, helping to identify and resolve issues of all kinds. The company offers a variety of services such as Software development, Software consultancy and Software training.",,Vanvik,"Embedded Systems, Information Technology, Linux, Software",No funding announced yet,2016,https://crimson.no/,,NO,
Convertelligence,https://www.eu-startups.com/directory/convertelligence/,Norway,"Convertelligence offers a platform that helps companies engage, assist and convert web visitors. The platform helps in reducing manual work and increasing sales. The startup is based in Oslo, Norway.",,Oslo,"Artificial Intelligence, Information Technology, customer support",No funding announced yet,2016,www.convertelligence.no/,,NO,
Styletime,https://www.eu-startups.com/directory/styletime/,Norway,"As a user of Styletime, you can quickly and easily find, compare and book hairdressing classes or beauty treatments in several hundred salons in Norway. You can search for exactly the treatment you need, look at salons near you, compare prices, read feedback from other users, and much more. And best of all, you book an appointment directly on styletime.no or in our iOS app.

Are you looking for inspiration or want information about a type of treatment? Check out the Styleboard .

For the salons, Styletime provides the opportunity to easily attract new customers and build their digital profiles. In addition, the salons receive online booking and a simple system for managing the calendar, customer list, and much more. Do you run a salon and want to learn more about Styletime? Read more and get in touch here.

Styletime is a young company. We launched our site in 2017 and have since done a lot to make the experience for both users and salons better. We continue with this every week, and if you have tips on what we can do better, we would love to hear from you. Contact [email protected]",,Oslo,"hairdressing classes, beauty treatments, salons, treatment",No funding announced yet,2016,https://www.styletime.no/,,NO,
CloudWay,https://www.eu-startups.com/directory/cloudway/,Norway,"CloudWay focuses on removing blockers and helping you combine existing services with cloud services. CloudWay is a great partner in projects as advisors, project managers, trainers and hands-on for customers and as subcontractor, through experience and passion for continuous learning.",,Oslo,"Consulting, Information Technology, Cloud Strategy Advisory",No funding announced yet,2016,https://cloudway.no/,,NO,
Cloud Insurance,https://www.eu-startups.com/directory/cloud-insurance/,Norway,"Cloud Insurance is a Norwegian company that offers insurance solutions designed for growth.  They take into account all the aspects of your day-to-day work as an insurance provider, and want to help you lessen time on managing policies, claims, financials, and reports. The company is based in Oslo, Norway.",,Oslo,"Banking, Insurance, IoT",No funding announced yet,2016,www.cloudinsurance.io/,,NO,
Task Analytics,https://www.eu-startups.com/directory/task-analytics/,Norway,"Task Analytics Inc. is a product development company. They are five product developers working on Task Analytics full time – localized in Oslo and Bergen in Norway, and Colombo in Sri Lanka.

Task Analytics Inc. was established in 2016 and is a result of the work by skilled people in Netlife Research who have worked with top tasks methodology and user testing for many years.
Task Analytics aims to be a tool helping web editors, marketing departments, communication departments, and consultants to work systematically on user experience online. They believe in a focus on the users, their needs, and how these needs are met. A customized survey intercepts users entering your website and asks questions at the end of their visit.",,Oslo,"methodology, Analytics, user testing",No funding announced yet,2016,https://www.taskanalytics.com/,,NO,
Techstep ASA,https://www.eu-startups.com/directory/techstep-asa/,Norway,"Techstep helps companies and organizations take advantage of mobile technology. By combining hardware, software, and solutions for managing mobile devices, we help our customers improve the working day of employees in organizations in the private and public sector throughout the Nordic region. We are convinced that the combination of smart tools, safe and stable technology in combination with good user experiences can make the company's most important resources even better. Flow by Techstep is a concept where several of our solutions are merged and delivered as a service. For you as a customer, Flow offers a complete offer for mobile services and solutions, which gives the business a better overview and lower costs.",,Oslo,"mobile technology, mobile devices, smart tools",No funding announced yet,2016,https://www.techstep.no/,,NO,
Teknett,https://www.eu-startups.com/directory/teknett/,Norway,Teknett is an online store that sells a range of electronic items with various collections and brands to choose from.,,Drammen,"online store, electronic, gadgets, computer, pc, gaming",No funding announced yet,2016,https://www.teknett.no/,,NO,
CarePacks,https://www.eu-startups.com/directory/carepacks/,Norway,"CarePacks is a Norwegian startup company that offers healthy snacks for more energy and profits, both at work and at home. The food delivery startup provides quality products that give you the energy to perform optimally throughout the day. The company is based in Lysaker, Norway.",,Lysaker,"E-Commerce, Marketing, Retail",Between €500K-€ 1 million,2016,carepacks.co/,,NO,
BuiltOn,https://www.eu-startups.com/directory/builton/,Norway,"BuiltOn is a SaaS Backend with integrated ML tools for web and app developers building smart digital products and experiences. It empowers developers by providing access to customize its pre-built API’s and as well offer FREE access to INSTANT Machine Learning capabilities. By using its APIs, it does not only build SMART solutions FASTER, but also exceeds its customers’ needs and expectations with minimal effort.",,Oslo,"Artificial Intelligence, Business Development, Information Technology, SaaS",No funding announced yet,2016,https://www.builton.dev/,,NO,
Bruse,https://www.eu-startups.com/directory/bruse/,Norway,"Bruse is an internet provider that offers high-quality fiber and broadband services for companies and homes. They work hard to ensure the best solutions, expand the high quality fiber network together with Hallingdal Kraftnett and offer the best TV and entertainment solutions through Altibox.",,Gol,"Information Technology, Internet, Telecommunications",No funding announced yet,2016,https://www.bruse.no/,,NO,
Brevio,https://www.eu-startups.com/directory/brevio/,Norway,"Brevio is an Irish company that offers web-based  administrative services in the audit industry. The company's mission is to simplify the audit for both auditor and customer. They are based in Oslo, Norway.",,Oslo,"Financial Services, Software, e-commerce, auditing",No funding announced yet,2016,www.brevio.com,,NO,
Bredvid,https://www.eu-startups.com/directory/bredvid/,Norway,"Bredvid offers design, development, cloud services, and consultancy services to organizations. The startup company is based in Oslo, Norway.",,Oslo,"Information Technology, Consultancy, cloud, UX",No funding announced yet,2016,bredvid.no,,NO,
Bookis,https://www.eu-startups.com/directory/bookis/,Norway,"Bookis is a Norwegian startup whose goal is to create a web-based Bookstore with Direct Author Compensation, making the sharing of stories and knowledge effortless from any location. The company leverages community, technology and innovative distribution to make it possible for  radically easier peer-to-peer book-selling, with great author compensation models. They are committed to Build the largest network of authors globally while fighting for a more fair book industry across the world.",,Oslo,"E-Commerce, E-Commerce Platforms, Education, Shopping",Between €1 million-€ 2.5 million,2016,www.bookis.com,,NO,
BoldBooks,https://www.eu-startups.com/directory/boldbooks/,Norway,"BoldBooks AS is an entrepreneurial company in the book industry that develops a marketplace with all the services you need for a professional book publishing. It guides you through all the steps in the publishing process through a tailor-made author journey where you get an estimated time and price for your project, and an explanation of what will happen when.",,Oslo,"E-Commerce Platforms, Marketplace, Online Portals, Publishing",Between €100K-€500K,2016,https://boldbooks.no/,,NO,
TikkTalk,https://www.eu-startups.com/directory/tikktalk/,Norway,"Interpreting services in over 200 languages
Salita is one of Norway's largest private nationwide providers of language services. We provide interpreting services and translate documents in over 200 languages. Customers' language challenges are solved with the help of tailor-made services performed by quality-assured, experienced interpreters and translators in most languages ​​and dialects.

Over 20 years of experience in the industry, large-quality deliveries, and modern technological solutions make us a market-leading provider of language services.",,Oslo,"language services, interpreting services, translate documents, interpreters, translators",Between €10 million-€25 million,2016,https://www.ww2.salita.no/tikktalk,,NO,
Tixio Technologies,https://www.eu-startups.com/directory/tixio-technologies/,Norway,"With Tixio Boards there is nothing that you can’t organize! There is no limit to the number of boards you can create, which means that there are no limits on your dreams. Personalize your boards with apps and widgets, putting what is most important to you first. Share every board you create with your team and watch it update in real-time.",,Ulefoss,"boards, apps, widgets, real-time",No funding announced yet,2016,https://www.tixio.io/,,NO,
Bits,https://www.eu-startups.com/directory/bits/,Norway,"Bits is a startup based in Oslo, Norway. They are a banking and finance industry's infrastructure company. Their main goal is to reinforce and secure the societal, non-profit purpose of maintaining an efficient payment system and interoperable payment infrastructure in the country.",,Oslo,"Banking, Finance, FinTech",No funding announced yet,2016,www.bits.no/,,NO,
Tribe Insurance,https://www.eu-startups.com/directory/tribe-insurance/,Norway,"Tribe is insurance based on social mechanisms.

Insurance customers know far more about good and bad risks in their social network than traditional insurance companies do.

Through using social networks Tribe will be able to dramatically reduce risk cost and distribution cost.

The Tribe team consists of experts on marketing, communication, and online conversions. It consists of people from the two most respected online companies in Norway in addition to insurance industry expertise.
Beta launch at Tribe",,Oslo,"Insurance, risk cost, distribution cost",Between €500K-€ 1 million,2016,http://tribe.no/,,NO,
Be Your Best,https://www.eu-startups.com/directory/be-your-best/,Norway,"Be Your Best offers science-based cognitive assessment & training, with the aim of enhancing the performance of the world's best football players.They  train scanning, and making faster, better decisions on the football pitch.",,Oslo,"Application Performance Management, training, football, psychology",Between €1 million-€ 2.5 million,2016,www.beyourbest.com/,,NO,
Turbulent Flux,https://www.eu-startups.com/directory/turbulent-flux/,Norway,"Turbulent Flux, a Software-as-a-Service flow simulation company, today announced a Malaysian-exclusive reseller agreement with Agile Energy, an oil and gas engineering consulting firm. Turbulent Flux provides ready-to-use simulation software for flow insights for the oil & gas industry. Our solutions help to accurately measure and optimize our clients’ wells and pipelines whilst reducing associated financial and environmental costs. Simulations undertaken are based on a hybrid model that combines the predictive capabilities of physical models with the speed and self-correcting abilities of data analytics. We are a trusted software provider to clients in all parts of the world.",,Oslo,"Software-as-a-Service, oil and gas engineering, consulting firm, simulation software",No funding announced yet,2016,https://turbulentflux.com/,,NO,
Unite Living,https://www.eu-startups.com/directory/unite-living/,Norway,"Unite Living is a service where roommates who fit well together can find each other based on desired characteristics, personality traits, and interests. It is difficult to find a place where everyone gets along. Unite Living changes the way you go to find roommates and a home to live in. With Unite Living we want to adapt the housing market to the changes in the world. People are moving more within countries and across borderlines. In general, we want to rent more homes, be flexible and live with people we can enjoy life with.

Unite Living is a service that unites you with future friends who, like you, are looking for a home to share. Unite Living changes the way you find roommates and a place to live. By uniting people who get along, we also help landlords get more secure and longer rental periods.",,Oslo,"roommates, home, housing market, friends",Between €5 million-€10 million,2016,https://uniteliving.com/,,NO,
ayfie Group,https://www.eu-startups.com/directory/ayfie-group/,Norway,"ayfie is a leading software company whose mission is to uncover truth through intelligent text analysis in the interests of justice, integrity and privacy. It offers search and text analytics solutions that bring structure to unstructured data. Its products combine artificial intelligence with deep expertise in linguistics, computational linguistics and computer science to extract meaning from text.",,Oslo,"Big Data, Knowledge Management, Text Analytics, Business Intelligence",Between €10 million-€25 million,2016,https://www.ayfie.com/,,NO,
Versor,https://www.eu-startups.com/directory/versor/,Norway,"Versor develops software necessary for true autonomous drone flight both indoors and outdoors, enabling complete automation of industrial drone operations. They believe this level of automation requires superior localization, which is particularly difficult to achieve indoors and in GPS-denied areas. By removing the need for pilots, the entire fleet of drones may be supervised remotely, enabling true scalability of drone operations across various applications. Drone autonomy software",,Oslo,"autonomous drone, flight, GPS, indoors, outdoors",Between €100K-€500K,2016,https://versor.io/,,NO,
Vilect AI,https://www.eu-startups.com/directory/vilect-ai/,Norway,AI recruitment assistant that helps non-hr managers run high-quality processes and hire the best candidates in record time.,,Oslo,"recruitment, hiring, applicant, hiring process",No funding announced yet,2016,http://www.vilect.ai/,,NO,
Vizda,https://www.eu-startups.com/directory/vizda/,Norway,"Vizda is a developer company of visualizing buildings and property in 3D software. Vizda AS is a company based in Tromsø, Norway, spun off from Norut Northern Research Institute AS. Vizda makes and develops software for visualizing buildings and property in 3D, and offers this software to municipalities, real estate developers, agents, architects, and other clients. The visualization tool is useful for city planning, property marketing, and communication of new construction projects to the public.",,Tromsø,"buildings, 3D software, real estate developers, city planning",Between €500K-€ 1 million,2016,http://vizda.no/,,NO,
Atilika,https://www.eu-startups.com/directory/atilika/,Norway,"Atilika develops innovative solutions for natural language processing, and machine learning. The AI Company is based in Oslo, and also has offices in Tokyo, Japan.",,Oslo,"Artificial Intelligence, Machine Learning, Natural Language Processing, Software",No funding announced yet,2016,www.atilika.com/en/,,NO,
Wide Assessment,https://www.eu-startups.com/directory/wide-assessment/,Norway,"WA.works is a free low threshold meeting place for candidates and companies, where candidates choose who can access their skill profiles and the lucky companies instantly know their level of epicness. The recruitment platform for tech. We provide the insight and candidate pool you need to hire great IT people. We spend a lot of time recruiting IT candidates and let them create beautiful skill profiles.",,Bergen,"recruitment platform, tech, IT people, IT candidates",Between €1 million-€ 2.5 million,2016,https://wa.works/,,NO,
AquacultureTalent,https://www.eu-startups.com/directory/aquaculturetalent/,Norway,"AquacultureTalent has offices in both US and Norway, and specializes in Executive Search Consultancy. They help companies to search and headhunt for Aquaculture, Seafood and Fisheries sector. They specialize in recruiting at the executive level, management and specialists.",,Kolbotn,"Aquaculture, Human Resources, Recruiting",No funding announced yet,2016,www.aquaculturetalent.com,,NO,
Zelluna,https://www.eu-startups.com/directory/zelluna/,Norway,"Zelluna’s core asset is a wide range of TCRsisolated from patients who exhibited long-term survival following inclusion in peptide-based cancer vaccine trials initiated by Prof Gustav Gaudernack and conducted by investigators at the Norwegian Radium Hospital/Oslo University Hospital. Currently, the company has several TCRs in different stages of development. Zelluna Immunotherapy is a biopharma company developing “off-the-shelf” T-cell receptor (TCR) guided natural killer (NK) cell therapy products for the treatment of multiple solid cancers.",,Oslo,"Immunotherapy, biopharma company, cancer",Between €5 million-€10 million,2016,https://www.zelluna.com/,,NO,
Airtight,https://www.eu-startups.com/directory/airtight/,Norway,"Airtight is a Norwegian startup based at StartupLab in Oslo. t monitors and balances energy waste from buildings, utilising the existing ventilation system. Energy leakages and indoor comfort are improved significantly by doing this continuously. Installation is easy and inexpensive.",,Oslo,"Building Maintenance, proptech",Between €1 million-€ 2.5 million,2016,https://www.airtight.ai/,,NO,
AIA Science,https://www.eu-startups.com/directory/aia-science/,Norway,AIA Science is a software company that offers data analysis and Artificial Intelligence solutions for quantifying carbon footprint and analyzing asset values.,,Oslo,"Analytics, Artificial Intelligence, Information Technology, Software",Between €1-€100K,2016,www.aiascience.com/,,NO,
AdTube,https://www.eu-startups.com/directory/adtube/,Norway,"AdTube is a startup company from Trondheim that aims at streamlining and optimizing the processes of digital advertising. A programmatic ad platform whose target industries are e-commerce, real estate, car and engine and can automate and optimize the entire process.",,Trondheim,"Advertising, Internet",No funding announced yet,2016,https://www.adtube.no/,,NO,
Adnuntius,https://www.eu-startups.com/directory/adnuntius/,Norway,Adnuntius AS is a software company based in Norway. The company provides publishers and marketers with a next generation advertising and marketing platform. It provides alternatives to programmatic advertising through private marketplace software.,,Oslo,"Advertising, Publishing",No funding announced yet,2016,adnuntius.com,,NO,
4 PHASES,https://www.eu-startups.com/directory/4-phases-as/,Norway,"4 PHASES AS provides  Clinical Trial Software for the Pharmaceutical Industry. They are the owners of CALITAV3.0, a web-based real-time software that has over 20 integrated modules for covering each and every function needed from producer to patient in clinical trails.",,Oslo,"Government, Information Services, Information Technology, Pharmaceutical, Software",No funding announced yet,2016,http://4phases.no/,,NO,
LANARS,https://www.eu-startups.com/directory/lanars/,Norway,"LANARS is a global IT firm headquartered in Oslo, Norway, with development offices in Ukraine and Georgia. We assist industry specialists who are willing to break the rules of the game and establish difficult goals for the future.
We strive for software market leadership and to maintain our position as a technology pioneer in the hardware and IoT development markets.",,Oslo,"Information Technology, Internet of Things, Mobile Apps, Software, Web Development",No funding announced yet,2016,https://lanars.com/,,NO,
Marketer Technologies,https://www.eu-startups.com/directory/marketer-technologies-2/,Norway,"We're a British firm that's created a delicious plant-based mince, burger patty, and sausage that's full of texture and flavour.
We're meatless, not tasteless, and our goal is to help people reduce their meat intake by making the transition to Meatless as simple as possible.",,Oslo,"Advertising, App Marketing, Marketing",Between €100K-€500K,2016,https://marketer.tech/,,NO,
Hudya,https://www.eu-startups.com/directory/hudya/,Norway,"We at Scoopr want to do something about this. Therefore, we have created a tool for you who prefer things to happen digitally, which easily allows you to check if you can save on moving from the company where you are a customer today. 

Our goal is to make it as easy as possible for you as an end user. Therefore, we automatically collect the information we need from public systems such as Altinn, and with just a few minutes of personal effort, you get the answer to whether you can save on changing agreements.",,Lysaker,"InsurTech, Marketplace, Smart Home",Between €10 million-€25 million,2016,https://hudya.no/en/,,NO,
Payr,https://www.eu-startups.com/directory/payr-2/,Norway,"Payr is an award-winning financial technology company with a simple mission: to enhance people's financial lives. We utilize science, psychology, and technology to help our users live more satisfying lives and create product experiences that people enjoy. Our mobile banking software gives users financial security and management. Our marketplace reimagines their relationship with items before matching them with more appropriate service providers.",,Oslo,"Banking, Consumer Lending, Credit, Credit Cards, FinTech, Image Recognition, Lead Generation, Marketplace, Price Comparison",Between €2.5 million-5 million,2016,https://payr.no/,,NO,
Eyr,https://www.eu-startups.com/directory/eyr-2/,Norway,"We build and deliver tomorrow's health services!

Our team wants to create good solutions that help both health workers and patients in everyday life.
Our vision is to make health services available. Eyr was founded in 2015 with the aim of giving people better access to health care and insight into their own health data.
There are now around 15 employees and 30 doctors in Norway and Denmark who work to make health care available for 12 hours every single day, all year round.",,Oslo,"Apps, Consulting, Health Care",No funding announced yet,2016,https://eyr.md/,,NO,
Cycled Technologies,https://www.eu-startups.com/directory/cycled-technologies/,Norway,Cycled AS is a waste management company that operates on an optimized recycling framework driven by the blockchain technology. The Cycled SmartBins use artificial intelligence to sort recyclables out of the general waste stream while the Cycled app optimizes the schedule for picking up recyclables from the SmartBin. Our incentives are customizable for facility owners. This ensure users of the SmartBin are socially motivated to recycle everywhere they go.,,"Skien, Telemark",Waste Management,Between €1-€100K,2016,https://cycled.no/,,NO,
Kindly,https://www.eu-startups.com/directory/kindly/,Norway,"Kindly is a conversational commerce platform that helps e-commerce businesses increase sales and customer pleasure.
Its conversational commerce platform and conversion tools turn any interaction, on any channel, at any step of the buying path, into an experience that increases customer loyalty and brand affinity.
The company, which is situated in Oslo, Norway, was founded in 2016.",,Oslo,"Artificial Intelligence, Information Services, Information Technology, Machine Learning, Natural Language Processing",No funding announced yet,2016,https://www.kindly.ai/,,NO,
Kindernay,https://www.eu-startups.com/directory/kindernay/,Norway,"Kindernay is based on three passions: cycling, technology, and entrepreneurship. We are highly experienced engineers with substantial experience in the production of complex mechanical devices and extensive expertise in high-tech design. Our creations can currently be found on the seabed, on solid ground, and even in space! And we've gone to great lengths to develop new transmission parts for automakers like Porsche AG, Volkswagen AG, and BMW, as well as heavy truck manufacturers like MAN, Daimler-Benz, Volvo, and Scania. That, however, is a different tale.
We are sports and cycling industry entrepreneurs with considerable expertise in retail, distribution, and product management with multinational companies such as Bosch, Cannondale, DTSwiss, GoPro, Gresvig, Mavic, Merida, Red Bull, and Salomon.",,Oslo,"CleanTech, Cycling, Electric Vehicle, Industrial Manufacturing, Transportation",Between €2.5 million-5 million,2016,https://www.kindernay.com,,NO,
Spacemaker AI,https://www.eu-startups.com/directory/spacemaker-ai-2/,Norway,"Spacemaker is a cloud-based artificial intelligence (AI) platform that allows teams to communicate, evaluate, and develop real estate locations. It is an enormously complex task to design urban site designs to fulfill the ever-increasing requirements of modern society. It's getting impossible with today's tools and techniques for site development. Slow and low-quality site development is a major challenge to sustainable urban expansion in a world of fast-rising urbanization.",,Oslo,"Artificial Intelligence, Information Services, Information Technology, Real Estate",Between €10 million-€25 million,2016,https://www.spacemakerai.com,,NO,
Tibber,https://www.eu-startups.com/directory/tibber-2/,Norway,"We believe in providing excellent digital tools and insights to end-users. Everyone wins if the best offer for your cash also happens to be the best deal for the world. As a result, we founded the world's first totally digital energy firm and platform, with the goal of making cutting-edge energy technology accessible to everyone. Tibber takes the place of your usual electricity provider.",,Forde,"Apps, Customer Service, Energy, Energy Efficiency, Energy Management",Above €25 million,2016,https://tibber.com/en,,NO,
ClevAir,https://www.eu-startups.com/directory/clevair/,Norway,"ClevAir is a smart system that manages your building’s energy consumption, automates its maintenance and operations, revitalizes its climate, and offers you all the insights you need to run it even better. ClevAir quality assures indoor air quality while not wasting energy in commercial real estate. 15-35% savings",,"Stavanger, Rogaland","Business Development, Commercial Real Estate, Data Center, Database, Energy Efficiency, Energy Management, Real Estate, Smart Building",Between €500K-€ 1 million,2016,http://clevair.io/,,NO,
Spiff,https://www.eu-startups.com/directory/spiff/,Norway,Spiff is a social savings app with a simple mission; help people save money. We focus on three things: 1. Make it simple to start saving 2. Make it simple to invite friends and family to saving plans 3. Smart automation and visualization of money. Spiff is a social savings app with a simple mission; help people save money.,,Oslo,,,2015,www.getspiff.no,,NO,
Leieting.no,https://www.eu-startups.com/directory/leieting-no/,Norway,"Leieting.no is inspired by sharing economy and offers renting things safely and easily. Security as a landlord. No deductible or loss on insurance. Security as a landlord. No deductible or loss on insurance. After payment, you will arrange for pickup and delivery. Rent things safely and easily, with insurance of up to 1 million kroner from If included.",,Bergen,"sharing economy, renting, insurance",,2015,www.leieting.no,,NO,
No Isolation,https://www.eu-startups.com/directory/no-isolation/,Norway,"No Isolation is a Norwegian startup, founded in October 2015. We tackle loneliness and involuntary social isolation by developing communication tools that help those affected.

Our first product is AV1, the telepresence robot designed to allow children and young adults with long-term illness to participate in their social and educational lives. AV1 was launched in August 2016 and currently helps about to 650 children across ten countries.",,Oslo,"isolation, communication, tools",,2015,https://www.noisolation.com/global/,,NO,
Gobi Technologies,https://www.eu-startups.com/directory/gobi-technologies/,Norway,"Gobi is an interactive app for sharing group stories. Unlike Snapchat, Gobi’s emphasis is on sharing with groups rather than individuals. Users (called “Goobers”) post interactive stories (called “goobs”) to share with one or many people. Groups are a particularly useful feature for celebrities, entertainers, and people with public lives apart from their private lives. Groups can also create goobs that follows a favorite TV show or sports team. Available on both iOS and Android, Gobi’s in-app tools facilitate the editing and sharing of goobs – captions can be placed on pictures, and timers can be set to display pictures for from 1 to 10 seconds.",,Oslo,"Social Media, Entertainment, TV shows",,2015,www.gobistories.co,,NO,
Smart Plants,https://www.eu-startups.com/directory/smart-plants/,Norway,"We create deeper operational insight, higher productivity among workers and strengthen the sustainability of both you and your business. Our product, ClevAir, optimizes buildings to bring 10-40% in energy savings, while Smart Factory takes factories into the age of digitization and increases turnover by up to 7%.",,Stavanger,"Smart Factory, Energy Saving, IoT, GreenTech",,2015,www.smartplants.io,,NO,
Nabobil by Getaround,https://www.eu-startups.com/directory/nabobil-by-getaround/,Norway,"Nabobil.no is a marketplace that connects individuals who need a car with people who own a car. If you need a car, use our marketplace to find the car near you that suits your needs, whether it's a quick trip to the mall or a weekend getaway. The choice is yours!",,Oslo,"Mobility, Car Rental, Car Sharing, Nabobil, Oslo",,2015,https://nabobil.no,,NO,
RetailFlux,https://www.eu-startups.com/directory/retailflux-inc/,Norway,"RetailFlux Inc is a technology pioneer company, located Oslo, Norway. We have been devising awesome retail analytic solutions for brick-and-mortar retailers. RetailFlux provides complete set of retail analytic products with superior accuracy in the form of innovative visualizations. Our product includes :
People Counting
Heat Map
Shopper Flow
Route Map
Zone Analysis
Queue Monitoring","RetailFlux is a business analytics software designed to provide retail stores with exclusive analytics based on in-store videos. More than just documenting what happens inside the store area, RetailFlux uses videos to boost marketing efforts, improve revenues, and turn any retail business into a success story.
With RetailFlux, retail store owners and managers are able to see the clear picture of their in-store operations, including shopper flow, dwell times, store traffic and category penetration rates.
The softwares unique analytics approach enables retail store owners and managers to monitor and assess the effectiveness of their marketing strategies. RetailFlux also helps users identify flaws and glitches in their in-store design and arrangement, devise and execute better product placement strategies, and arrange resources to influence and empower in-store shopper actions.",Oslo,"analytics, retail, marketing",,2015,www.retailflux.com,,NO,
ScanReach,https://www.eu-startups.com/directory/scanreach/,Norway,"ScanReach is a maritime IoT company based in Bergen, Norway.",,Straume,"Big Data, Information Technology, Marine Technology, Wireless",Between €10 million-€25 million,2015,https://www.scanreach.com/,,NO,
Blueye Robotics,https://www.eu-startups.com/directory/blueye-robotics/,Norway,"We want to enable knowledge and sustainability by providing low-friction access to view what’s below the surface.

Blueye has its roots in the highly renowned Centre for Autonomous Marine Operations and Systems (AMOS) at NTNU in Norway.

Exceptional user experience and attractiveness have been the overarching design goals since the beginning. Together with world-leading marine engineers and award-winning industrial designers, we strongly believe we have created the world's best underwater drone.",,"Trondheim, Sor-Trondelag","Consumer Electronics, Electronics, Marine Technology, Robotics",Above €25 million,2015,http://www.blueye.no,,NO,
Heimdall Power,https://www.eu-startups.com/directory/heimdall-power/,Norway,Heimdall Power is a company that streamlines the use of electricity in a growing market for the Internet of Things.,,Steinkjer,Internet of Things,Between €2.5 million-5 million,2015,https://heimdallpower.com/,,NO,
Ably Medical,https://www.eu-startups.com/directory/ably-medical/,Norway,"A deep dive into a broad range of challenges faces by healthcare providers in Norway pinpointed nurse burden – both physical and cognitive – as a major obstacle to effective treatment and care, with direct links to patient outcomes. Expanding on our collaborations with healthcare institutions both in Norway and internationally, Ably set out to redesign the hospital bed, optimized for both patients and clinical staff. Our smart bed system mobilizes and monitors patients, leveraging machine learning technology to provide continuous and critical information to nurses and physicians.",,Oslo,"Health Care, Medical Device",Between €5 million-€10 million,2015,http://www.ablymed.com/,,NO,
Way Trafikkskole,https://www.eu-startups.com/directory/way-trafikkskole/,Norway,"Faster way to the patch with simulator
We have driving training in both simulator (30 min) and car (45 min), manual and automatic. Way is a traffic school that offers training in both simulator and car. So that you learn more effectively and get the shortest possible path to the note. Visit us at Nordre gate 11 and at TillerTorget.",,Trondheim,"Artificial Intelligence, Automotive, Education, Software",Above €25 million,2015,https://way.no/,,NO,
GRIFF Aviation,https://www.eu-startups.com/directory/griff-aviation/,Norway,"GRIFF Aviation’s UAS (Unmanned Aerial Systems) are designed and built to be the finest available.

No other drone is comparable in terms of quality, performance or mission flexibility.
With lifting capabilities that have redefined the industry, GRIFF Aviation’s UAS offer a completely new standard in fully customisable system and payload options.
GRIFF Aviation: creators of UAS for the most demanding professional users.",,Tornes I Romsdal,"Drones, Software",Above €25 million,2015,https://griffaviation.com/,,NO,
Servebolt,https://www.eu-startups.com/directory/servebolt/,Norway,Servebolt provides hosting services with a focus on scalability and security that help in the smooth function of the e-commerce website.,,Oslo,"E-Commerce, Internet, Web Hosting",Between €5 million-€10 million,2015,https://servebolt.com/,,NO,
Villoid,https://www.eu-startups.com/directory/villoid/,Norway,"Villoid offers a shopping app that enables shoppers to find and buy products from a range of brands, and share and follow fashion trends.",,Oslo,"Apps, E-Commerce, Fashion, Shopping",Between €5 million-€10 million,2015,https://villoid.no/,,NO,
Blockbonds,https://www.eu-startups.com/directory/blockbonds/,Norway,"Blockbonds is creating a world where everyone can manage their savings, payments and investments in an honest, transparent and secure way.",,Kristiansand,"Financial Services, FinTech, Mobile Payments",Between €5 million-€10 million,2015,blockbonds.io,,NO,
reTyre,https://www.eu-startups.com/directory/retyre/,Norway,"reTyre is a pioneering tyre manufacturer committed to innovation and sustainability, with the unique distinction of being the world's first to mass-produce pneumatic tyres without using rubber. Leveraging scalable, cutting-edge technology that synthesizes advancements from multiple industries, this innovative approach not only sets new industry standards but also achieves significantly lower emissions compared to traditional rubber tyres. The reTyre technology’s scalability ensures rapidly adaptation to market demands while maintaining a low environmental impact.",,Oslo,"Product Design, Sporting Goods",Between €2.5 million-5 million,2015,https://www.retyre.co/,,NO,Active
Picterus,https://www.eu-startups.com/directory/picterus/,Norway,"Picterus AS is a private limited liability company registered in Norway. A smartphone app that
estimates newborn jaundice levels An estimated 114.000 newborns die from jaundice every year
Jaundice is a major cause of death and brain damage in low and middle income countries.",,"Trondheim, Sor-Trondelag","Apps, Health Care, Medical Device",Between €2.5 million-5 million,2015,http://www.picterus.com/,,NO,
